gene,med,cv,sd,cvmod,r
A1BG,0.00240945116022,2.4284564537647593,0.018442579437604967,2.250047524519231,0.24350731736631562
A1CF,0.00346239198884,3.8430719184918054,0.03957975829970413,1.9675601440414519,0.8702017384058138
A2M,0.0182965846356,1.1615520351601278,0.03445983976403358,1.529606693231479,0.2577374143033107
A2ML1,6.97853684171e-4,2.294089745588775,0.005758321081439739,2.683008455775674,0.05951456962966428
A3GALT2,0.0166344673951,1.7365431289939812,0.06428838586870692,1.9796942023987196,0.7137852582187812
A4GALT,0.0155564016578,1.6154794117378106,0.04792966325385579,1.829583165228911,0.5768435747655143
A4GNT,0.00229675609149,1.7583549306010349,0.010192463281811991,2.3508770254986864,0.076088888318721
AAAS,0.501105670358,0.44449487670732857,0.2225927234395814,0.6588992711918708,0.9735768358459901
AACS,0.00293076341573,3.692113915899007,0.04459783272927407,2.2647103463644,0.8232883564639473
AADAC,0.00121251038802,3.7572947351456603,0.021529350784867656,2.559516466970516,0.3816590486358876
AADACL2,9.35893803269e-4,3.0756618296402585,0.010006329301552392,2.171302358712081,0.13468234570674523
AADACL3,0.0126866139276,1.537242651826843,0.03591235471999044,1.624110713512338,0.411405118045
AADACL4,0.0126680413553,1.3753087026745618,0.03532784946556904,2.062448134148933,0.3065963458877615
AADAT,0.00421177672888,2.1761903729680667,0.021023768086433747,1.9470632324236974,0.24524805023015941
AAED1,0.0133992210861,1.5002544942298819,0.04079660141576949,2.135500998729207,0.334155436406
AAGAB,0.00769626362409,1.8296637995090645,0.039721174040174806,2.6644635515918496,0.3746963618919908
AAK1,0.183474351591,0.6930738284824794,0.14956789068953333,1.0606604106050208,0.77344719563919
AAMDC,0.0132877136096,1.541060704378991,0.04543706038477124,2.28042907022077,0.5609379334037735
AAMP,0.859500625744,0.2114702805871987,0.1700470903219499,0.19899592529318644,0.99390344370423
AANAT,0.0679507339211,0.9284174865511987,0.0897989009290637,1.4053858394316232,0.54815966517851
AAR2,0.0149069015433,2.104728982863215,0.08502222161740107,2.219156755300926,0.775059044296
AARD,0.0831348540326,0.9951487540117738,0.12126992525320013,1.444360276467363,0.8754730663404501
AARS,0.999849361604,0.00640597200335621,0.006391924996337147,0.0012857873579452494,0.07800316266399998
AARS2,0.824801869848,0.27613633150593636,0.2091026339028487,0.32972387306677425,0.9277569656423
AARSD1,0.116870625513,0.8447269607577889,0.13143926374555379,1.3721125626837904,0.8014181276936999
AASDH,0.0159706092749,1.3755547506395314,0.04456597820235511,1.9354065544348837,0.34887900830062185
AASDHPPT,0.580663690397,0.46680237265943225,0.2588055584444788,0.7121873284641951,0.9763089493953699
AASS,0.00123071542676,4.947204637284886,0.022657476134081436,2.215062440111604,0.47419251316282596
AATF,0.726206123407,0.289948256762075,0.19705474690828262,0.3428303837304164,0.9296663687177
AATK,0.0540311839872,1.1131567232358657,0.0951102425837095,1.4664528128565646,0.693859043143098
ABAT,0.0220992463186,1.4285480267054502,0.06062568574608229,2.012201798857866,0.5903081094019372
ABCA1,0.0125571945146,1.7346538326123113,0.04970312652948106,2.080034907009005,0.485625737005702
ABCA10,3.14429474667e-4,2.449274825161267,0.0024821850433865552,2.223614437941811,0.0323482152998991
ABCA12,0.0218958471394,1.5342854479311883,0.07118290568258356,1.9654385581118585,0.5274570830762899
ABCA13,0.0105022786523,1.99078478313122,0.04203276512167309,1.7728668609228346,0.61466079186972
ABCA2,0.0113178793902,2.084156701419385,0.05858078492379148,2.2570029023439346,0.7419615244476695
ABCA3,0.0148984459943,1.36660609894482,0.03946239924127528,1.9971683138787668,0.309386790259496
ABCA4,0.036797771089,1.1918822444774257,0.07413361164303217,1.6153201863405395,0.6640694580136101
ABCA5,0.0246682999831,1.3193852622039794,0.05872497032935409,1.8653624875214192,0.6116750620748019
ABCA6,6.96333037494e-4,2.5299393383060633,0.007523753492754977,2.8996163292975994,0.0722390818401398
ABCA7,0.00337013654368,2.0095434195112722,0.02219269552382338,2.4507716403713307,0.21226484316783417
ABCA8,0.013683584537,1.7556626827435076,0.057362171069506564,2.2806592459107193,0.6747810521125843
ABCA9,7.88610361977e-4,2.8736042677132345,0.009803258048384068,2.816661018217489,0.12215544088796175
ABCB1,0.0208379700673,1.29760192932508,0.04571521184258772,1.678056855689243,0.492800178427577
ABCB10,0.426308707544,0.5271835963658219,0.2261081420586732,0.8887203920597759,0.93945283063868
